sample-id	input	filtered	percentage of input passed filter	denoised	non-chimeric	percentage of input non-chimeric	sample
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	categorical
E12-49-1	86643	85329	98.48	82234	80238	92.61	E12-49-1
E12-49-2	118055	113494	96.14	110695	105757	89.58	E12-49-2
E12-49-3	135162	132333	97.91	126865	122076	90.32	E12-49-3
E18-57-1	88	1	1.14	1	1	1.14	E18-57-1
E18-57-2	48956	47399	96.82	45444	44011	89.9	E18-57-2
E18-57-3	64216	63065	98.21	60177	59288	92.33	E18-57-3
E38-1	662	378	57.1	329	329	49.7	E38-1
E38-2	108514	105134	96.89	103044	99862	92.03	E38-2
E38-3	58320	56186	96.34	53797	51667	88.59	E38-3
E4066-1	90529	87762	96.94	82520	79834	88.19	E4066-1
E4066-2	166692	163391	98.02	157520	150533	90.31	E4066-2
E4066-3	128600	126352	98.25	122203	116122	90.3	E4066-3
S18-35-1	108514	105134	96.89	103044	99862	92.03	S18-35-1
S18-35-2	58320	56186	96.34	53797	51667	88.59	S18-35-2
S18-35-3	90529	87762	96.94	82520	79834	88.19	S18-35-3
W1084-1	166692	163391	98.02	157520	150533	90.31	W1084-1
W1084-2	128600	126352	98.25	122203	116122	90.3	W1084-2
W1084-3	166692	163391	98.02	157520	150533	90.31	W1084-3
W1163-1	58320	56186	96.34	53797	51667	88.59	W1163-1
W1163-2	90529	87762	96.94	82520	79834	88.19	W1163-2
W1163-3	108514	105134	96.89	103044	99862	92.03	W1163-3
